77779,10C,0
77891,10D,0
77969,11F,12
78050,12F,14
78129,146,-6
78210,149,14
78291,14A,15
78291,20,-1;14;-106
78291,11,121217
78291,10,2122690
78291,A,37617553
78291,B,126826801
78291,C,3490
78291,D,0
78291,F,12
78369,10C,0
78450,10D,0
78529,11F,13
78610,12F,13
78691,146,-6
78769,149,14
78850,14A,15
78850,20,0;14;-106
78850,10,2122750
78850,A,37617558
78850,B,126826798
78850,C,3520
78850,D,0
78850,F,12
78929,10C,0
79010,10D,0
79091,11F,13
79170,12F,13
79251,146,-6
79330,149,14
79412,14A,15
79412,20,0;14;-106
79419,10,2122810
79419,A,37617558
79419,B,126826796
79419,C,3490
79419,D,0
79419,F,12
79500,10C,0
79580,10D,0
79660,11F,14
79740,12F,12
79821,146,-6
79900,149,14
79980,14A,15
79980,20,-1;13;-106
79980,10,2122860
79980,A,37617558
79980,B,126826792
79980,C,3520
79980,D,0
79980,F,12
80060,10C,0
80140,10D,0
80221,11F,14
80300,12F,12
80380,146,-6
80460,149,14
80540,14A,15
80540,20,-1;14;-106
80540,10,2122920
80540,A,37617559
80540,B,126826791
80540,C,3540
80540,D,0
80540,F,12
80621,10C,0
80700,10D,0
80780,11F,15
80860,12F,12
80940,146,-6
81021,149,14
81100,14A,15
81100,20,-1;13;-106
81100,10,2122980
81100,A,37617560
81100,B,126826790
81100,C,3550
81100,D,0
81100,F,12
81200,10C,0
81280,10D,0
81360,11F,15
81440,12F,11
81521,146,-6
81600,149,14
81680,14A,15
81680,20,0;13;-106
81680,10,2123030
81680,A,37617561
81680,B,126826790
81680,C,3560
81680,D,0
81680,F,12
81760,10C,0
81840,10D,0
81921,11F,16
82000,12F,10
82080,146,-6
82160,149,14
82240,14A,15
82240,20,0;14;-106
82240,10,2123090
82240,A,37617562
82240,B,126826788
82240,C,3540
82240,D,0
82240,F,12
82330,10C,0
82412,10D,0
82492,11F,16
82570,12F,10
82651,146,-6
82730,149,14
82811,14A,15
82811,20,0;13;-106
82811,10,2123150
82811,A,37617562
82811,B,126826787
82811,C,3520
82811,D,0
82811,F,12
82892,10C,0
82970,10D,0
83051,11F,17
83130,12F,9
83211,146,-6
83292,149,14
83370,14A,15
83370,20,0;13;-106
83370,10,2123200
83370,A,37617562
83370,B,126826786
83370,C,3510
83370,D,0
83370,F,12
83451,10C,0
83531,10D,0
83611,11F,18
83692,12F,8
83770,146,-6
83851,149,14
83931,14A,15
83931,20,0;14;-106
83940,10,2123260
83940,A,37617562
83940,B,126826787
83940,C,3500
83940,D,0
83940,F,12
84040,10C,0
84131,10D,0
84211,11F,18
84292,12F,9
84370,146,-6
84451,149,14
84531,14A,15
84531,20,0;13;-106
84531,10,2123320
84531,A,37617561
84531,B,126826787
84531,C,3480
84531,D,0
84531,F,12
84611,10C,0
84692,10D,0
84770,11F,19
84851,12F,9
84931,146,-6
85012,149,14
85092,14A,15
85092,20,0;13;-106
85092,10,2123380
85092,A,37617561
85092,B,126826787
85092,C,3470
85092,D,0
85092,F,12
85170,10C,0
85251,10D,0
85340,11F,19
85421,12F,9
85500,146,-6
85580,149,14
85660,14A,15
85660,20,0;13;-106
85660,10,2123430
85660,A,37617560
85660,B,126826788
85660,C,3460
85660,D,0
85660,F,12
85740,10C,0
85821,10D,0
85900,11F,20
85980,12F,9
86060,146,-6
86140,149,14
86222,14A,15
86222,20,0;13;-106
86222,10,2123490
86222,A,37617559
86222,B,126826788
86222,C,3450
86222,D,0
86222,F,12
86300,10C,0
86380,10D,0
86461,11F,20
86540,12F,9
86622,146,-6
86700,149,14
86780,14A,15
86780,20,0;13;-106
86780,10,2123540
86780,A,37617559
86780,B,126826788
86780,C,3440
86780,D,0
86780,F,12
86880,10C,0
86970,10D,0
87051,11F,21
87132,12F,9
87212,146,-6
87292,149,14
87370,14A,15
87370,20,0;13;-107
87370,10,2123600
87370,A,37617558
87370,B,126826788
87370,C,3420
87370,D,0
87370,F,12
87451,10C,0
