219722,10C,1878
219993,10D,24
220073,11F,3
220154,12F,42
220235,146,-5
220326,149,32
220405,14A,33
220405,20,6;5;-107
220405,11,101217
220405,10,1190750
220405,A,37506956
220405,B,127022771
220405,C,-8840
220405,D,22
220405,F,6
220484,10C,1908
220562,10D,23
220641,11F,4
220721,12F,40
220801,146,-5
220881,149,33
220961,14A,33
220961,20,6;18;-107
220961,10,1190810
220961,A,37506935
220961,B,127022794
220961,C,-8510
220961,D,21
220961,F,6
221041,10C,1990
221121,10D,25
221200,11F,4
221280,12F,37
221362,146,-5
221451,149,14
221532,14A,15
221532,20,9;5;-93
221532,10,1190870
221532,A,37506906
221532,B,127022799
221532,C,-8220
221532,D,25
221532,F,4
221611,10C,2017
221691,10D,25
221771,11F,5
221851,12F,48
221933,146,-5
222012,149,20
222091,14A,19
222091,20,5;4;-102
222091,10,1190920
222091,A,37506877
222091,B,127022819
222091,C,-8020
222091,D,24
222091,F,6
222171,10C,1977
222252,10D,26
222332,11F,6
222412,12F,44
222491,146,-5
222571,149,14
222653,14A,16
222653,20,7;4;-95
222653,10,1190980
222653,A,37506843
222653,B,127022831
222653,C,-7830
222653,D,25
222653,F,6
222772,10C,1926
222852,10D,24
222932,11F,6
223012,12F,44
223092,146,-5
223172,149,14
223252,14A,15
223252,20,9;7;-103
223252,10,1191040
223252,A,37506811
223252,B,127022842
223252,C,-7750
223252,D,21
223252,F,5
223333,10C,1648
223413,10D,24
223493,11F,7
223573,12F,46
223653,146,-5
223734,149,25
223814,14A,30
223814,20,3;6;-97
223814,10,1191100
223814,A,37506787
223814,B,127022856
223814,C,-7670
223814,D,25
223814,F,4
223895,10C,1833
223975,10D,23
224055,11F,7
224147,12F,40
224227,146,-5
224307,149,33
224386,14A,36
224386,20,8;20;-97
224386,10,1191150
224386,A,37506749
224386,B,127022878
224386,C,-7590
224386,D,22
224386,F,6
224467,10C,1971
224545,10D,23
224626,11F,8
224707,12F,36
224787,146,-5
224867,149,23
224946,14A,26
224946,20,4;6;-97
224946,10,1191210
224946,A,37506718
224946,B,127022893
224946,C,-7490
224946,D,25
224946,F,6
225027,10C,2056
225107,10D,25
225186,11F,8
225266,12F,45
225345,146,-5
225427,149,30
225506,14A,30
225506,20,3;12;-92
225517,10,1191270
225517,A,37506676
225517,B,127022919
225517,C,-7440
225517,D,25
225517,F,5
225624,10C,2150
225705,10D,27
225785,11F,9
225865,12F,38
225943,146,-5
226024,149,31
226104,14A,32
226104,20,6;12;-102
226104,10,1191320
226104,A,37506636
226104,B,127022944
226104,C,-7350
226104,D,26
226104,F,5
226184,10C,1888
226264,10D,28
226341,11F,10
226422,12F,50
226502,146,-5
226582,149,33
226665,14A,32
226665,20,0;14;-103
226665,10,1191370
226665,A,37506644
226665,B,127022995
226665,C,-7440
226665,D,27
226665,F,6
226754,10C,1395
226834,10D,29
226912,11F,10
226992,12F,40
227071,146,-5
227152,149,29
227234,14A,28
227234,20,4;7;-93
227234,10,1191430
227234,A,37506654
227234,B,127023090
227234,C,-6640
227234,D,28
