52038,10C,939
52550,10D,7
52629,11F,12
52709,12F,75
52790,146,-5
52870,149,28
52950,14A,29
52950,20,11;14;-92
52950,11,71217
52950,10,5215710
52950,A,37568623
52950,B,126894179
52950,C,1360
52950,D,9
52950,F,12
53029,10C,1282
53109,10D,8
53189,11F,13
53268,12F,76
53346,146,-5
53426,149,29
53507,14A,27
53507,20,3;14;-103
53507,10,5215770
53507,A,37568608
53507,B,126894187
53507,C,1540
53507,D,9
53507,F,12
53588,10C,1501
53668,10D,13
53748,11F,13
53829,12F,79
53908,146,-5
53992,149,18
54070,14A,18
54070,20,3;14;-103
54081,10,5215820
54081,A,37568583
54081,B,126894173
54081,C,1660
54081,D,10
54081,F,12
54160,10C,1694
54238,10D,10
54318,11F,14
54398,12F,76
54478,146,-5
54558,149,26
54637,14A,31
54637,20,-1;8;-103
54637,10,5215880
54637,A,37568574
54637,B,126894158
54637,C,1660
54637,D,10
54637,F,12
54716,10C,1796
54798,10D,13
54878,11F,14
54958,12F,78
55037,146,-5
55117,149,35
55197,14A,35
55197,20,0;16;-97
55197,10,5215940
55197,A,37568555
55197,B,126894159
55197,C,1680
55197,D,13
55197,F,12
55277,10C,2006
55358,10D,14
55448,11F,15
55528,12F,73
55608,146,-5
55687,149,34
55768,14A,35
55768,20,-2;18;-102
55768,10,5215990
55768,A,37568541
55768,B,126894167
55768,C,1710
55768,D,16
55768,F,12
55878,10C,1336
55969,10D,14
56048,11F,16
56129,12F,72
56209,146,-5
56288,149,31
56370,14A,32
56370,20,1;14;-102
56370,10,5220050
56370,A,37568508
56370,B,126894156
56370,C,1750
56370,D,19
56370,F,12
56449,10C,1485
56529,10D,16
56609,11F,16
56689,12F,75
56771,146,-5
56850,149,23
56930,14A,24
56930,20,3;11;-96
56930,10,5220110
56930,A,37568495
56930,B,126894145
56930,C,1750
56930,D,17
56930,F,12
57020,10C,1591
57100,10D,20
57180,11F,17
57260,12F,76
57340,146,-5
57421,149,15
57500,14A,17
57500,20,0;6;-99
57500,10,5220170
57500,A,37568467
57500,B,126894124
57500,C,1730
57500,D,21
57500,F,12
57582,10C,1603
57662,10D,19
57742,11F,17
57822,12F,80
57903,146,-5
57982,149,17
58062,14A,15
58062,20,1;4;-100
58062,10,5220230
58062,A,37568436
58062,B,126894099
58062,C,1700
58062,D,19
58062,F,12
58140,10C,1402
58220,10D,17
58300,11F,18
58381,12F,76
58461,146,-5
58550,149,14
58630,14A,15
58630,20,4;3;-104
58630,10,5220280
58630,A,37568419
58630,B,126894080
58630,C,1700
58630,D,19
58630,F,12
58729,10C,0
58810,10D,19
58890,11F,19
58971,12F,78
59051,146,-5
59131,149,14
59211,14A,17
59211,20,-1;2;-108
59211,10,5220330
59211,A,37568400
59211,B,126894078
59211,C,1720
59211,D,19
59211,F,12
59291,10C,0
59372,10D,19
59451,11F,19
59531,12F,76
59611,146,-5
59691,149,14
59771,14A,15
59771,20,-1;4;-100
59771,10,5220380
59771,A,37568362
59771,B,126894048
59771,C,1740
59771,D,18
59771,F,12
59863,10C,0
59941,10D,17
60021,11F,20
60101,12F,80
60181,146,-5
60262,149,14
60342,14A,15
60342,20,2;5;-103
60342,10,5220440
60342,A,37568341
60342,B,126894034
60342,C,1730
60342,D,18
60342,F,12
60421,10C,0
60500,10D,19
60581,11F,20
60661,12F,76
60740,146,-5
60820,149,16
60900,14A,15
60900,20,2;1;-100
60900,10,5220500
60900,A,37568321
60900,B,126894011
60900,C,1740
60900,D,18
60900,F,12
60980,10C,0
61059,10D,16
61139,11F,21
61219,12F,77
61299,146,-5
61379,149,15
61460,14A,15
61460,20,5;-1;-103
61469,10,5220560
61469,A,37568296
61469,B,126893998
61469,C,1720
61469,D,18
61469,F,12
61577,10C,0
61668,10D,15
61747,11F,21
61826,12F,80
61906,146,-5
61986,149,14
62070,14A,15
62070,20,0;-5;-100
62070,10,5220630
62070,A,37568279
62070,B,126893979
62070,C,1740
62070,D,16
62070,F,12
62150,10C,0
62229,10D,14
62309,11F,22
62387,12F,80
62471,146,-5
62549,149,16
62629,14A,17
62629,20,2;-7;-101
62629,10,5220680
62629,A,37568262
62629,B,126893972
62629,C,1780
62629,D,14
62629,F,12
62710,10C,0
62790,10D,11
62879,11F,22
62959,12F,78
63038,146,-5
63118,149,15
63198,14A,15
63198,20,2;-7;-100
63198,10,5220740
63198,A,37568255
63198,B,126893958
63198,C,1820
63198,D,11
63198,F,12
63279,10C,0
63359,10D,9
63439,11F,23
63518,12F,78
63598,146,-5
63678,149,16
63758,14A,16
63758,20,2;-3;-104
63758,10,5220800
63758,A,37568234
63758,B,126893948
63758,C,1860
63758,D,7
63758,F,12
63838,10C,0
63916,10D,7
63996,11F,24
64075,12F,76
64156,146,-5
64235,149,14
64315,14A,15
64315,20,4;-3;-103
64315,10,5220860
64315,A,37568240
64315,B,126893934
64315,C,1870
64315,D,8
64315,F,12
64457,10C,0
64543,10D,5
64624,11F,24
64703,12F,80
64783,146,-5
64863,149,16
64941,14A,17
64941,20,2;-4;-101
64941,10,5220920
64941,A,37568219
64941,B,126893930
64941,C,1880
64941,D,6
64941,F,12
65022,10C,0
65101,10D,3
65182,11F,25
65264,12F,78
65342,146,-5
65422,149,15
65502,14A,16
65502,20,3;-7;-101
65502,10,5220980
65502,A,37568229
65502,B,126893935
65502,C,1900
65502,D,1
65502,F,12
65584,10C,0
65666,10D,2
65745,11F,25
65824,12F,79
65904,146,-5
65984,149,14
66066,14A,16
66073,20,3;-1;-102
66073,10,5221030
66073,A,37568230
66073,B,126893926
66073,C,1920
66073,D,1
66073,F,12
66156,10C,0
66234,10D,0
66314,11F,26
66393,12F,78
66473,146,-5
66555,149,15
66634,14A,15
66634,20,3;8;-102
66634,10,5221090
66634,A,37568229
66634,B,126893916
66634,C,1930
66634,D,0
66634,F,12
66715,10C,0
