file,date,route,vehicle,rows,bad_rows,unique_pids
data/차량_OBD_데이터셋/OBD_Data_1201/#5_Route2_(2972)_1201/12010505.CSV,1201,Route2,Vehicle5,228220,0,
data/차량_OBD_데이터셋/OBD_Data_1201/#5_Route2_(2972)_1201/12010750.CSV,1201,Route2,Vehicle5,58518,0,
data/차량_OBD_데이터셋/OBD_Data_1201/#5_Route2_(2972)_1201/12010833.CSV,1201,Route2,Vehicle5,154571,0,
data/차량_OBD_데이터셋/OBD_Data_1202/#14_Route1_(3912)_1202/12020146.CSV,1202,Route1,Vehicle14,163542,0,
data/차량_OBD_데이터셋/OBD_Data_1202/#14_Route1_(3912)_1202/12020351.CSV,1202,Route1,Vehicle14,365889,0,
data/차량_OBD_데이터셋/OBD_Data_1202/#14_Route1_(3912)_1202/12020811.CSV,1202,Route1,Vehicle14,107170,0,
data/차량_OBD_데이터셋/OBD_Data_1202/#15_Route3_(2972)_1202/12020100.CSV,1202,Route3,Vehicle15,175367,0,
data/차량_OBD_데이터셋/OBD_Data_1202/#15_Route3_(2972)_1202/12020312.CSV,1202,Route3,Vehicle15,299739,0,
data/차량_OBD_데이터셋/OBD_Data_1203/#16_Route1_(3912)_1203/12030126.CSV,1203,Route1,Vehicle16,44080,0,
data/차량_OBD_데이터셋/OBD_Data_1203/#16_Route1_(3912)_1203/12030238.CSV,1203,Route1,Vehicle16,512352,0,
data/차량_OBD_데이터셋/OBD_Data_1203/#16_Route1_(3912)_1203/12030902.CSV,1203,Route1,Vehicle16,96696,0,
data/차량_OBD_데이터셋/OBD_Data_1203/#17_Route3_(2972)_1203/12030101.CSV,1203,Route3,Vehicle17,174793,0,
data/차량_OBD_데이터셋/OBD_Data_1203/#17_Route3_(2972)_1203/12030303.CSV,1203,Route3,Vehicle17,299459,0,
data/차량_OBD_데이터셋/OBD_Data_1204/#18_Route1_(3912)_1204/12032217.CSV,1204,Route1,Vehicle18,48613,0,
data/차량_OBD_데이터셋/OBD_Data_1204/#18_Route1_(3912)_1204/12032258.CSV,1204,Route1,Vehicle18,448318,0,
data/차량_OBD_데이터셋/OBD_Data_1204/#18_Route1_(3912)_1204/12040410.CSV,1204,Route1,Vehicle18,92119,0,
data/차량_OBD_데이터셋/OBD_Data_1204/#19_Route2_(2972)_1204/12040129.CSV,1204,Route2,Vehicle19,56199,0,
data/차량_OBD_데이터셋/OBD_Data_1204/#19_Route2_(2972)_1204/12040221.CSV,1204,Route2,Vehicle19,217876,0,
data/차량_OBD_데이터셋/OBD_Data_1204/#19_Route2_(2972)_1204/12040516.CSV,1204,Route2,Vehicle19,234789,0,
data/차량_OBD_데이터셋/OBD_Data_1204/#19_Route2_(2972)_1204/12040823.CSV,1204,Route2,Vehicle19,150763,0,
data/차량_OBD_데이터셋/OBD_Data_1205/#18_Route2_(2972)_1205/12050103.CSV,1205,Route2,Vehicle18,46972,0,
data/차량_OBD_데이터셋/OBD_Data_1205/#18_Route2_(2972)_1205/12050140.CSV,1205,Route2,Vehicle18,254871,0,
data/차량_OBD_데이터셋/OBD_Data_1205/#18_Route2_(2972)_1205/12050438.CSV,1205,Route2,Vehicle18,154345,0,
data/차량_OBD_데이터셋/OBD_Data_1205/#18_Route2_(2972)_1205/12050630.CSV,1205,Route2,Vehicle18,57459,0,
data/차량_OBD_데이터셋/OBD_Data_1205/#18_Route2_(2972)_1205/12050724.CSV,1205,Route2,Vehicle18,61749,0,
data/차량_OBD_데이터셋/OBD_Data_1205/#18_Route2_(2972)_1205/12050811.CSV,1205,Route2,Vehicle18,167704,0,
data/차량_OBD_데이터셋/OBD_Data_1205/#19_Route1_(3912)_1205/12050102.CSV,1205,Route1,Vehicle19,102187,0,
data/차량_OBD_데이터셋/OBD_Data_1205/#19_Route1_(3912)_1205/12050240.CSV,1205,Route1,Vehicle19,725639,0,
data/차량_OBD_데이터셋/OBD_Data_1205/#19_Route1_(3912)_1205/12051110.CSV,1205,Route1,Vehicle19,82736,0,
data/차량_OBD_데이터셋/OBD_Data_1206/#20_Route1_(3912)_1206/12060103.CSV,1206,Route1,Vehicle20,30884,0,
data/차량_OBD_데이터셋/OBD_Data_1206/#20_Route1_(3912)_1206/12060130.CSV,1206,Route1,Vehicle20,318912,0,
data/차량_OBD_데이터셋/OBD_Data_1206/#20_Route1_(3912)_1206/12060521.CSV,1206,Route1,Vehicle20,54710,0,
data/차량_OBD_데이터셋/OBD_Data_1206/#9_Route3_(2972)_1206/12060104.CSV,1206,Route3,Vehicle9,174961,0,
data/차량_OBD_데이터셋/OBD_Data_1206/#9_Route3_(2972)_1206/12060329.CSV,1206,Route3,Vehicle9,299739,0,
data/차량_OBD_데이터셋/OBD_Data_1207/#17_Route1_(3912)_1207/12062302.CSV,1207,Route1,Vehicle17,54945,0,
data/차량_OBD_데이터셋/OBD_Data_1207/#17_Route1_(3912)_1207/12062355.CSV,1207,Route1,Vehicle17,297555,0,
data/차량_OBD_데이터셋/OBD_Data_1207/#17_Route1_(3912)_1207/12070325.CSV,1207,Route1,Vehicle17,158147,0,
data/차량_OBD_데이터셋/OBD_Data_1207/#17_Route1_(3912)_1207/12070521.CSV,1207,Route1,Vehicle17,62028,0,
data/차량_OBD_데이터셋/OBD_Data_1207/#20_Route2_(2972)_1207/12070107.CSV,1207,Route2,Vehicle20,64566,0,
data/차량_OBD_데이터셋/OBD_Data_1207/#20_Route2_(2972)_1207/12070203.CSV,1207,Route2,Vehicle20,141512,0,
data/차량_OBD_데이터셋/OBD_Data_1207/#20_Route2_(2972)_1207/12070358.CSV,1207,Route2,Vehicle20,56674,0,
data/차량_OBD_데이터셋/OBD_Data_1207/#20_Route2_(2972)_1207/12070449.CSV,1207,Route2,Vehicle20,200889,0,
data/차량_OBD_데이터셋/OBD_Data_1207/#20_Route2_(2972)_1207/12070715.CSV,1207,Route2,Vehicle20,58772,0,
data/차량_OBD_데이터셋/OBD_Data_1207/#20_Route2_(2972)_1207/12070816.CSV,1207,Route2,Vehicle20,78780,0,
data/차량_OBD_데이터셋/OBD_Data_1208/#21_Route1_(3912)_1208/12080101.CSV,1208,Route1,Vehicle21,45488,0,
data/차량_OBD_데이터셋/OBD_Data_1208/#21_Route1_(3912)_1208/12080140.CSV,1208,Route1,Vehicle21,395350,0,
data/차량_OBD_데이터셋/OBD_Data_1208/#22_Route3_(2972)_1208/12080115.CSV,1208,Route3,Vehicle22,174961,0,
data/차량_OBD_데이터셋/OBD_Data_1208/#22_Route3_(2972)_1208/12080331.CSV,1208,Route3,Vehicle22,299445,0,
data/차량_OBD_데이터셋/OBD_Data_1209/#15_Route1_(3912)_1209/12082204.CSV,1209,Route1,Vehicle15,43573,0,
data/차량_OBD_데이터셋/OBD_Data_1209/#15_Route1_(3912)_1209/12082240.CSV,1209,Route1,Vehicle15,164088,0,
data/차량_OBD_데이터셋/OBD_Data_1209/#15_Route1_(3912)_1209/12090101.CSV,1209,Route1,Vehicle15,363117,0,
data/차량_OBD_데이터셋/OBD_Data_1209/#15_Route1_(3912)_1209/12090515.CSV,1209,Route1,Vehicle15,107408,0,
data/차량_OBD_데이터셋/OBD_Data_1209/#16_Route2_(2972)_1209/12090117.CSV,1209,Route2,Vehicle16,55488,0,
data/차량_OBD_데이터셋/OBD_Data_1209/#16_Route2_(2972)_1209/12090206.CSV,1209,Route2,Vehicle16,102536,0,
data/차량_OBD_데이터셋/OBD_Data_1209/#16_Route2_(2972)_1209/12090345.CSV,1209,Route2,Vehicle16,102910,0,
data/차량_OBD_데이터셋/OBD_Data_1209/#16_Route2_(2972)_1209/12090517.CSV,1209,Route2,Vehicle16,47885,0,
data/차량_OBD_데이터셋/OBD_Data_1209/#16_Route2_(2972)_1209/12090611.CSV,1209,Route2,Vehicle16,220026,0,
data/차량_OBD_데이터셋/OBD_Data_1209/#16_Route2_(2972)_1209/12090903.CSV,1209,Route2,Vehicle16,139589,0,
data/차량_OBD_데이터셋/OBD_Data_1210/#23_Route1_(3912)_1210/12100119.CSV,1210,Route1,Vehicle23,43772,0,
data/차량_OBD_데이터셋/OBD_Data_1210/#23_Route1_(3912)_1210/12100211.CSV,1210,Route1,Vehicle23,513514,0,
data/차량_OBD_데이터셋/OBD_Data_1210/#23_Route1_(3912)_1210/12100837.CSV,1210,Route1,Vehicle23,96486,0,
data/차량_OBD_데이터셋/OBD_Data_1210/#7_Route3_(2972)_1210/12100123.CSV,1210,Route3,Vehicle7,174723,0,
data/차량_OBD_데이터셋/OBD_Data_1210/#7_Route3_(2972)_1210/12100345.CSV,1210,Route3,Vehicle7,299515,0,
data/차량_OBD_데이터셋/OBD_Data_1211/#21_Route3_(2972)_1211/12110109.CSV,1211,Route3,Vehicle21,10190,0,
data/차량_OBD_데이터셋/OBD_Data_1211/#21_Route3_(2972)_1211/12110117.CSV,1211,Route3,Vehicle21,174079,0,
data/차량_OBD_데이터셋/OBD_Data_1211/#21_Route3_(2972)_1211/12110350.CSV,1211,Route3,Vehicle21,297877,0,
data/차량_OBD_데이터셋/OBD_Data_1211/#21_Route3_(2972)_1211/12110720.CSV,1211,Route3,Vehicle21,27585,0,
data/차량_OBD_데이터셋/OBD_Data_1211/#2_Route1_(3912)_1211/12110105.CSV,1211,Route1,Vehicle2,52691,0,
data/차량_OBD_데이터셋/OBD_Data_1211/#2_Route1_(3912)_1211/12110142.CSV,1211,Route1,Vehicle2,11564,0,
data/차량_OBD_데이터셋/OBD_Data_1211/#2_Route1_(3912)_1211/12110152.CSV,1211,Route1,Vehicle2,283513,0,
data/차량_OBD_데이터셋/OBD_Data_1211/#2_Route1_(3912)_1211/12110508.CSV,1211,Route1,Vehicle2,146135,0,
data/차량_OBD_데이터셋/OBD_Data_1211/#2_Route1_(3912)_1211/12110650.CSV,1211,Route1,Vehicle2,60684,0,
data/차량_OBD_데이터셋/OBD_Data_1212/#10_Route1_(3912)_1212/12120130.CSV,1212,Route1,Vehicle10,43276,0,
data/차량_OBD_데이터셋/OBD_Data_1212/#10_Route1_(3912)_1212/12120202.CSV,1212,Route1,Vehicle10,376562,0,
data/차량_OBD_데이터셋/OBD_Data_1212/#22_Route2_(2972)_1212/12120132.CSV,1212,Route2,Vehicle22,54578,0,
data/차량_OBD_데이터셋/OBD_Data_1212/#22_Route2_(2972)_1212/12120212.CSV,1212,Route2,Vehicle22,96350,0,
data/차량_OBD_데이터셋/OBD_Data_1212/#22_Route2_(2972)_1212/12120435.CSV,1212,Route2,Vehicle22,100446,0,
data/차량_OBD_데이터셋/OBD_Data_1212/#22_Route2_(2972)_1212/12120550.CSV,1212,Route2,Vehicle22,46317,0,
data/차량_OBD_데이터셋/OBD_Data_1212/#22_Route2_(2972)_1212/12120623.CSV,1212,Route2,Vehicle22,211457,0,
data/차량_OBD_데이터셋/OBD_Data_1212/#22_Route2_(2972)_1212/12120850.CSV,1212,Route2,Vehicle22,133639,0,
data/차량_OBD_데이터셋/OBD_Data_1213/#12_Route1_(3912)_1213/12130120.CSV,1213,Route1,Vehicle12,42243,0,
data/차량_OBD_데이터셋/OBD_Data_1213/#12_Route1_(3912)_1213/12130151.CSV,1213,Route1,Vehicle12,158712,0,
data/차량_OBD_데이터셋/OBD_Data_1213/#12_Route1_(3912)_1213/12130346.CSV,1213,Route1,Vehicle12,338015,0,
data/차량_OBD_데이터셋/OBD_Data_1213/#12_Route1_(3912)_1213/12130743.CSV,1213,Route1,Vehicle12,104132,0,
data/차량_OBD_데이터셋/OBD_Data_1213/#23_Route2_(2972)_1213/12130113.CSV,1213,Route2,Vehicle23,47434,0,
data/차량_OBD_데이터셋/OBD_Data_1213/#23_Route2_(2972)_1213/12130147.CSV,1213,Route2,Vehicle23,221378,0,
data/차량_OBD_데이터셋/OBD_Data_1213/#23_Route2_(2972)_1213/12130421.CSV,1213,Route2,Vehicle23,150792,0,
data/차량_OBD_데이터셋/OBD_Data_1213/#23_Route2_(2972)_1213/12130613.CSV,1213,Route2,Vehicle23,56758,0,
data/차량_OBD_데이터셋/OBD_Data_1214/#22_Route1_(3912)_1214/12140131.CSV,1214,Route1,Vehicle22,42386,0,
data/차량_OBD_데이터셋/OBD_Data_1214/#22_Route1_(3912)_1214/12140203.CSV,1214,Route1,Vehicle22,482112,0,
data/차량_OBD_데이터셋/OBD_Data_1214/#22_Route1_(3912)_1214/12140736.CSV,1214,Route1,Vehicle22,94554,0,
data/차량_OBD_데이터셋/OBD_Data_1214/#24_Route2_(2972)_1214/12140139.CSV,1214,Route2,Vehicle24,43078,0,
data/차량_OBD_데이터셋/OBD_Data_1214/#24_Route2_(2972)_1214/12140226.CSV,1214,Route2,Vehicle24,162851,0,
data/차량_OBD_데이터셋/OBD_Data_1214/#24_Route2_(2972)_1214/12140428.CSV,1214,Route2,Vehicle24,51998,0,
data/차량_OBD_데이터셋/OBD_Data_1214/#24_Route2_(2972)_1214/12140513.CSV,1214,Route2,Vehicle24,219946,0,
data/차량_OBD_데이터셋/OBD_Data_1214/#24_Route2_(2972)_1214/12140748.CSV,1214,Route2,Vehicle24,57496,0,
data/차량_OBD_데이터셋/OBD_Data_1214/#24_Route2_(2972)_1214/12140829.CSV,1214,Route2,Vehicle24,148229,0,
data/차량_OBD_데이터셋/OBD_Data_1215/#25_Route1_(3912)_1215/12150133.CSV,1215,Route1,Vehicle25,47451,0,
data/차량_OBD_데이터셋/OBD_Data_1215/#25_Route1_(3912)_1215/12150207.CSV,1215,Route1,Vehicle25,424322,0,
data/차량_OBD_데이터셋/OBD_Data_1215/#25_Route1_(3912)_1215/12150700.CSV,1215,Route1,Vehicle25,88605,0,
data/차량_OBD_데이터셋/OBD_Data_1215/#26_Route2_(2972)_1215/12150143.CSV,1215,Route2,Vehicle26,54407,0,
data/차량_OBD_데이터셋/OBD_Data_1215/#26_Route2_(2972)_1215/12150223.CSV,1215,Route2,Vehicle26,209896,0,
data/차량_OBD_데이터셋/OBD_Data_1215/#26_Route2_(2972)_1215/12150449.CSV,1215,Route2,Vehicle26,225885,0,
data/차량_OBD_데이터셋/OBD_Data_1215/#26_Route2_(2972)_1215/12150728.CSV,1215,Route2,Vehicle26,144393,0,
data/차량_OBD_데이터셋/OBD_Data_1216/#14_Route2_(2972)_1216/12160111.CSV,1216,Route2,Vehicle14,46552,0,
data/차량_OBD_데이터셋/OBD_Data_1216/#14_Route2_(2972)_1216/12160145.CSV,1216,Route2,Vehicle14,246415,0,
data/차량_OBD_데이터셋/OBD_Data_1216/#14_Route2_(2972)_1216/12160449.CSV,1216,Route2,Vehicle14,147961,0,
data/차량_OBD_데이터셋/OBD_Data_1216/#14_Route2_(2972)_1216/12160633.CSV,1216,Route2,Vehicle14,56941,0,
data/차량_OBD_데이터셋/OBD_Data_1216/#14_Route2_(2972)_1216/12160741.CSV,1216,Route2,Vehicle14,61063,0,
data/차량_OBD_데이터셋/OBD_Data_1216/#14_Route2_(2972)_1216/12160824.CSV,1216,Route2,Vehicle14,162636,0,
data/차량_OBD_데이터셋/OBD_Data_1216/#3_Route1_(3912)_1216/12160101.CSV,1216,Route1,Vehicle3,95999,0,
data/차량_OBD_데이터셋/OBD_Data_1216/#3_Route1_(3912)_1216/12160211.CSV,1216,Route1,Vehicle3,679229,0,
data/차량_OBD_데이터셋/OBD_Data_1216/#3_Route1_(3912)_1216/12160958.CSV,1216,Route1,Vehicle3,77094,0,
data/차량_OBD_데이터셋/OBD_Data_1217/#13_Route2_(2972)_1217/12170056.CSV,1217,Route2,Vehicle13,62802,0,
data/차량_OBD_데이터셋/OBD_Data_1217/#13_Route2_(2972)_1217/12170143.CSV,1217,Route2,Vehicle13,136206,0,
data/차량_OBD_데이터셋/OBD_Data_1217/#13_Route2_(2972)_1217/12170339.CSV,1217,Route2,Vehicle13,55330,0,
data/차량_OBD_데이터셋/OBD_Data_1217/#13_Route2_(2972)_1217/12170419.CSV,1217,Route2,Vehicle13,189853,0,
data/차량_OBD_데이터셋/OBD_Data_1217/#13_Route2_(2972)_1217/12170650.CSV,1217,Route2,Vehicle13,57862,0,
data/차량_OBD_데이터셋/OBD_Data_1217/#13_Route2_(2972)_1217/12170733.CSV,1217,Route2,Vehicle13,77660,0,
data/차량_OBD_데이터셋/OBD_Data_1217/#23_Route1_(3912)_1217/12170048.CSV,1217,Route1,Vehicle23,30548,0,
data/차량_OBD_데이터셋/OBD_Data_1217/#23_Route1_(3912)_1217/12170112.CSV,1217,Route1,Vehicle23,303736,0,
data/차량_OBD_데이터셋/OBD_Data_1217/#23_Route1_(3912)_1217/12170444.CSV,1217,Route1,Vehicle23,53520,0,
